Genus,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Iodobacter,0.01618123,0.135113269,0.00566343,0.112459547,0.012135922,0.124595469,0.124595469,0.152912621,0.061488673,0.123786408,0.023462783,0.012944984,0.004854369,0.004045307,0.00566343,0.000809061,0.004854369,0,0.001618123,0.000809061,0,0,0.004854369,0,0.000809061,0.00566343,0.002427184,0.004045307,0,0,0,0.001618123,0,0.001618123,0.000809061,0,0,0.002427184,0.00566343,0.000809061,0.002427184,0.012135922,0.001618123,0.003236246,0.002427184,0.004045307,0.002427184,0,0.002427184,0.004045307,0,0.000809061,0.003236246,0.000809061,0,0,0,0.001618123
Eikenella,0.011935953,0.113828239,0.013973799,0.098398836,0.017176128,0.116739447,0.115866084,0.15342067,0.071615721,0.127802038,0.031149927,0.022416303,0.004949054,0.008442504,0.004075691,0.001164483,0.005822416,0.000582242,0.000582242,0.000873362,0.000291121,0.000582242,0.006404658,0,0.002037846,0.007569141,0.001455604,0.004366812,0.000291121,0,0,0.000582242,0,0.002911208,0,0.000582242,0.001164483,0.002328967,0.005822416,0.000582242,0.002037846,0.013100437,0.000873362,0.005822416,0.004366812,0.00349345,0.002037846,0.000582242,0,0.005822416,0,0.000582242,0.001164483,0.000291121,0,0.000582242,0.000582242,0.000873362
Zymomonas,0.015604102,0.111012037,0.013820776,0.106107891,0.013374944,0.119928667,0.121266161,0.158716005,0.058849755,0.127953634,0.028979046,0.024520731,0.005795809,0.005349978,0.004904146,0.001783326,0.005349978,0,0.000445831,0,0,0.000891663,0.004904146,0,0.000891663,0.005349978,0.00312082,0.006687472,0,0,0.000445831,0.000891663,0,0.001337494,0.000445831,0,0,0.001337494,0.005349978,0.000445831,0.00312082,0.01515827,0.000445831,0.005795809,0.004458315,0.003566652,0.001783326,0.000445831,0.000445831,0.004012483,0,0.000891663,0.00312082,0.000891663,0,0,0,0
Citrobacter,0.02281259,0.111175282,0.018481086,0.092982963,0.017326018,0.115506786,0.117816922,0.15506786,0.075368178,0.11897199,0.023390124,0.027721629,0.006064106,0.008374242,0.002310136,0.001155068,0.004042738,0.000288767,0.000288767,0.000577534,0,0.000577534,0.007219174,0.000288767,0.001443835,0.00664164,0.002598903,0.004042738,0.000288767,0,0,0.000577534,0,0.000866301,0,0.000288767,0.000577534,0.001732602,0.005197805,0.000866301,0.00288767,0.012705746,0.001443835,0.004620271,0.003753971,0.005486572,0.001443835,0.000577534,0.001443835,0.004909038,0,0.000866301,0.002021369,0.000577534,0.000866301,0,0.001732602,0.001732602
Enterobacter,0.021000894,0.108579088,0.021894549,0.09562109,0.017426273,0.109025916,0.120643432,0.164432529,0.067917784,0.114834674,0.024128686,0.030831099,0.004915103,0.004468275,0.00536193,0.000893655,0.004021448,0.000446828,0,0.000446828,0.000446828,0.001340483,0.00536193,0.000893655,0.003127793,0.00893655,0.001340483,0.005808758,0,0,0,0,0,0.00178731,0.000446828,0.000446828,0.000446828,0.001340483,0.004021448,0.000893655,0.001340483,0.016085791,0.000893655,0.00357462,0.006702413,0.004021448,0.000893655,0.001340483,0,0.004915103,0,0.000446828,0.000893655,0.000893655,0.000893655,0.000893655,0.000446828,0.002234138
Klebsiella,0.016527425,0.10642935,0.012350163,0.089175445,0.012350163,0.111877951,0.124772975,0.156193244,0.068289139,0.126952416,0.023065746,0.023428987,0.007991282,0.006901562,0.003450781,0.002724301,0.005448602,0.00018162,0.00054486,0.00054486,0.00108972,0.00054486,0.007809662,0.00018162,0.002361061,0.009807483,0.004722121,0.007991282,0.00018162,0.00018162,0.00018162,0.00072648,0,0.003087541,0.00018162,0.00018162,0.00054486,0.00108972,0.005811842,0.00145296,0.003087541,0.015437704,0.0009081,0.004722121,0.004177261,0.004358881,0.00108972,0.00036324,0.00127134,0.007809662,0,0.0009081,0.002542681,0.002179441,0.00054486,0,0.00163458,0.00163458
Pantoea,0.025137112,0.110146252,0.019652651,0.085923218,0.020566728,0.125228519,0.115173675,0.150822669,0.06535649,0.112431444,0.022394881,0.035191956,0.006855576,0.004570384,0.004113346,0.00274223,0.003656307,0.000457038,0.000457038,0.001371115,0,0.000457038,0.006855576,0,0.00274223,0.006398537,0.00274223,0.008683729,0.000457038,0,0.000457038,0.000914077,0,0.003199269,0,0,0.000457038,0,0.002285192,0.001371115,0.001828154,0.017824497,0.000914077,0.002285192,0.004570384,0.006855576,0.002285192,0.001828154,0.000914077,0.005941499,0,0.000457038,0.001371115,0.000457038,0.000457038,0,0.001371115,0.001371115
Erwinia,0.021771999,0.111279105,0.020864832,0.094950106,0.018445721,0.10190505,0.124584215,0.153915936,0.063501663,0.109767161,0.02691261,0.029331721,0.007257333,0.009071666,0.003326278,0.001209555,0.006047777,0.000604778,0,0.000604778,0.000302389,0.000302389,0.005140611,0.000907167,0.0027215,0.009676444,0.000604778,0.009071666,0.000604778,0,0.000302389,0.000604778,0.000302389,0.001814333,0.000302389,0,0.000302389,0.002419111,0.006350166,0.000302389,0.001814333,0.017840943,0.000302389,0.003628666,0.004838222,0.006047777,0.001814333,0.000907167,0.002116722,0.006350166,0,0.001511944,0.000907167,0.001511944,0.000604778,0.000302389,0.000604778,0.001511944
Pectobacterium,0.022192632,0.10918775,0.017754106,0.08743897,0.015978695,0.106524634,0.120727918,0.156679982,0.067021749,0.123391034,0.026631158,0.027962716,0.0084332,0.010652463,0.004438526,0.004882379,0.003106968,0.000443853,0,0.000443853,0.000443853,0.000887705,0.005326232,0.001331558,0.002219263,0.009320905,0.003106968,0.00665779,0.000443853,0.000443853,0.000443853,0.001331558,0,0.002219263,0,0,0.000443853,0.000887705,0.004882379,0,0.003106968,0.011984021,0.000887705,0.005326232,0.004882379,0.003994674,0.001775411,0,0.000887705,0.004438526,0.000443853,0.001331558,0.002663116,0.001331558,0.000887705,0,0.000887705,0.000887705
Dickeya,0.015682657,0.093173432,0.015682657,0.106088561,0.016605166,0.101476015,0.105166052,0.156826568,0.086715867,0.113468635,0.028597786,0.034132841,0.003690037,0.008302583,0.008302583,0.001845018,0.005535055,0,0.001845018,0.000922509,0.000922509,0,0.007380074,0,0.001845018,0.011070111,0.003690037,0.008302583,0,0,0,0,0,0.001845018,0,0,0,0.001845018,0.004612546,0.000922509,0.001845018,0.016605166,0.003690037,0.006457565,0.004612546,0.003690037,0.000922509,0.001845018,0.000922509,0.005535055,0,0.000922509,0.002767528,0.000922509,0,0.001845018,0,0.000922509
