Genus,OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Weissella,1629,0.026192075,0.0161182,0.0322364,0.005372733,0.0241773,0.009402283,0.00402955,0.002014775,0.000671592,0.003357958,0.0402955,0.030893217,0.059771659,0.029550034,0.021490934,0.020819342,0.0402955,0.003357958,0.003357958,0.003357958,0.011417058,0.004701142,0.0241773,0.006715917,0.014775017,0.035594359,0.019476158,0.033579584,0.002014775,0.002014775,0.002686367,0.003357958,0,0.034922767,0.001343183,0.00402955,0.002014775,0.014775017,0.030221625,0.001343183,0.015446608,0.059100067,0.006044325,0.042310275,0.050369375,0.107454668,0.006715917,0.012760242,0.009402283,0.018132975,0.002014775,0.000671592,0.018804567,0.004701142,0.002014775,0,0.001343183,0.016789792
Kandleria,1630,0.021472393,0.024539877,0.038343558,0.012269939,0.01993865,0.015337423,0.001533742,0.001533742,0,0.003067485,0.029141104,0.01993865,0.064417178,0.033742331,0.039877301,0.01993865,0.030674847,0.004601227,0.006134969,0.009202454,0.012269939,0.006134969,0.027607362,0.015337423,0.009202454,0.01993865,0.016871166,0.024539877,0,0,0.007668712,0.004601227,0,0.04601227,0.001533742,0.006134969,0,0.010736196,0.033742331,0.003067485,0.007668712,0.038343558,0.013803681,0.053680982,0.033742331,0.116564417,0.003067485,0.009202454,0.010736196,0.015337423,0.003067485,0.007668712,0.007668712,0.010736196,0.001533742,0.003067485,0.003067485,0.01993865
Fructobacillus,1631,0.014641288,0.02489019,0.023426061,0.002928258,0.021961933,0.010248902,0.002928258,0.002928258,0,0.001464129,0.040995608,0.029282577,0.070278184,0.03806735,0.026354319,0.021961933,0.042459736,0.001464129,0.001464129,0.004392387,0.005856515,0.001464129,0.03806735,0.005856515,0.010248902,0.03806735,0.011713031,0.023426061,0.001464129,0,0,0.004392387,0,0.043923865,0.001464129,0.001464129,0.002928258,0.008784773,0.03806735,0.002928258,0.011713031,0.06295754,0.004392387,0.052708638,0.036603221,0.112737921,0.01317716,0.005856515,0.008784773,0.021961933,0,0.005856515,0.004392387,0.007320644,0.002928258,0.004392387,0.002928258,0.019033675
Lactobacillus,1634,0.02904738,0.019922987,0.03072158,0.005859702,0.019002176,0.013142474,0.003013561,0.003013561,0.00016742,0.003766951,0.035241922,0.031140131,0.053490708,0.032814331,0.027205759,0.024108488,0.036916123,0.002176461,0.004520342,0.004687762,0.006696802,0.005357442,0.031642391,0.005357442,0.017579106,0.037167253,0.021178637,0.031558681,0.00125565,0.00117194,0.002762431,0.004855182,0.00016742,0.02862883,0.003515821,0.003264691,0.003180981,0.012807634,0.02971706,0.00092081,0.011049724,0.065628662,0.007617613,0.039343713,0.045956806,0.104721246,0.008789553,0.006613092,0.009877783,0.021932027,0.00125565,0.005357442,0.011886824,0.007785033,0.001674201,0.002427591,0.004520342,0.014816675
Listeria,1643,0.02919708,0.023255814,0.032422339,0.004583263,0.023934816,0.010354778,0.001867255,0.002037006,0.000509251,0.00373451,0.035308097,0.030045833,0.053980648,0.029876082,0.022746563,0.026990324,0.035817348,0.002716007,0.003225259,0.004413512,0.007469021,0.003395009,0.031743337,0.006790019,0.012731285,0.034459345,0.017823799,0.031573587,0.001188253,0.001018503,0.001697505,0.004243762,0.00016975,0.043286369,0.003395009,0.003055508,0.002376507,0.012901035,0.026311322,0.001527754,0.009506026,0.044644373,0.008148022,0.046002377,0.043965371,0.128670854,0.010354778,0.004922764,0.010524529,0.019351553,0.002037006,0.004753013,0.011373281,0.009336276,0.002037006,0.003055508,0.004583263,0.012561535
Renibacterium,1646,0.032582655,0.022999521,0.034020125,0.005270724,0.022520364,0.009103977,0.00143747,0.001916627,0,0.003833253,0.037374221,0.030186871,0.054623862,0.032582655,0.029228558,0.026353618,0.035936751,0.00143747,0.003354097,0.00431241,0.006708194,0.00287494,0.034020125,0.004791567,0.012458074,0.034499281,0.018207954,0.030666028,0.00143747,0.00143747,0.003833253,0.00431241,0.000479157,0.042165788,0.003833253,0.00574988,0.001916627,0.011978917,0.027791088,0.000958313,0.011020604,0.050311452,0.003833253,0.043124102,0.044082415,0.116435074,0.010541447,0.007666507,0.013416387,0.020603737,0.00143747,0.00287494,0.014374701,0.004791567,0.001916627,0.000958313,0.00574988,0.007666507
Erysipelothrix,1647,0.02972973,0.024324324,0.033333333,0.004054054,0.024324324,0.008108108,0.002252252,0.003153153,0.00045045,0.003153153,0.036036036,0.031531532,0.057207207,0.036936937,0.024774775,0.024774775,0.040540541,0.001801802,0.004954955,0.001351351,0.006756757,0.005855856,0.021621622,0.004504505,0.013963964,0.032882883,0.014864865,0.03018018,0.00045045,0.000900901,0.005855856,0.005405405,0.00045045,0.036486486,0.003153153,0.004954955,0.004054054,0.011261261,0.031081081,0.000900901,0.010810811,0.044144144,0.004954955,0.045945946,0.040540541,0.136036036,0.010810811,0.004504505,0.008558559,0.01981982,0.003153153,0.003603604,0.012612613,0.006756757,0.002252252,0.000900901,0.003153153,0.013063063
Kurthia,1650,0.027038627,0.022746781,0.033476395,0.00472103,0.021030043,0.010729614,0.001287554,0.002575107,0,0.001287554,0.038626609,0.026609442,0.0527897,0.026609442,0.023175966,0.026180258,0.037339056,0.002145923,0.003004292,0.008583691,0.006437768,0.003433476,0.031330472,0.008154506,0.014592275,0.042060086,0.020600858,0.024463519,0.002145923,0.001716738,0.002575107,0.003862661,0,0.041201717,0.003004292,0.003433476,0.002145923,0.012875536,0.027896996,0.001287554,0.012446352,0.045493562,0.005150215,0.045922747,0.043776824,0.131759657,0.012017167,0.004291845,0.006008584,0.026180258,0.001716738,0.003004292,0.013733906,0.007296137,0.002145923,0.001287554,0.003433476,0.011158798
Alloiococcus,1652,0.029423303,0.022754021,0.034523342,0.004707729,0.0219694,0.0109847,0.003923107,0.002353864,0.000784621,0.002746175,0.031384857,0.031777168,0.052961946,0.026284818,0.030992546,0.022754021,0.040015692,0.001961554,0.002353864,0.003138486,0.0109847,0.003530796,0.030600235,0.006669282,0.020400157,0.031384857,0.018830914,0.029030993,0.000392311,0.000784621,0.001961554,0.006669282,0.000392311,0.042761867,0.003530796,0.003138486,0.001961554,0.010200078,0.030207925,0.000784621,0.0109847,0.044723421,0.007061593,0.041977246,0.038054139,0.136916438,0.011377011,0.005884661,0.009807768,0.020400157,0.001569243,0.001176932,0.007453903,0.009023146,0.002746175,0.001569243,0.003923107,0.013338564
Actinobaculum,1657,0.028917283,0.022192334,0.028244788,0.00403497,0.014794889,0.012777404,0.00134499,0.00268998,0.00134499,0.00537996,0.036987223,0.032952253,0.063214526,0.021519839,0.024882313,0.017484869,0.044384667,0.00268998,0.000672495,0.00672495,0.008742434,0.000672495,0.039677202,0.008742434,0.010087424,0.028244788,0.022864829,0.030934768,0.000672495,0.000672495,0.003362475,0.003362475,0.000672495,0.048419637,0.00134499,0.004707465,0.002017485,0.014122394,0.034297243,0,0.011432414,0.041022192,0.006052455,0.047747142,0.043039677,0.129119032,0.008069939,0.00537996,0.00672495,0.024209818,0.000672495,0.003362475,0.00672495,0.009414929,0,0.00134499,0.006052455,0.012777404
