Genus,OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Mycobacterium,1763,0.00448866,0.001222872,0.003330528,0.001676054,0.005531698,0.003503169,0.000985491,0.000546696,4.32E-05,0.000848817,0.003265788,0.00378371,0.042253825,0.041354654,0.025435738,0.020421963,0.073609702,0.003589489,0.003460008,0.004582173,0.00391319,0.008114116,0.069135429,0.004287245,0.029888431,0.049957919,0.026953538,0.040563384,0.002136429,0.000690563,0.001129358,0.002891733,0.000539502,0.014127769,0.001373933,0.002438551,0.002467324,0.025500478,0.058259062,0.000633016,0.023702137,0.063891467,0.010192998,0.028895747,0.056662135,0.067257961,0.006732989,0.01381126,0.017005114,0.040721638,0.002172396,0.009495242,0.023083508,0.017458296,0.004013898,0.003819677,0.004373566,0.017774805
Mycolicibacterium,1766,0.003991158,0.001498219,0.0035245,0.001977158,0.005575341,0.003512219,0.001191207,0.000638585,4.91E-05,0.000970158,0.003892914,0.002849073,0.03384502,0.035515166,0.025150436,0.022141717,0.06287609,0.004813951,0.004654304,0.005906914,0.005317451,0.009885791,0.073646076,0.006017438,0.034188874,0.040488763,0.028429326,0.044467641,0.002480658,0.000798232,0.001215768,0.003254329,0.000478939,0.015190962,0.001682427,0.002812231,0.002824512,0.028380204,0.056502517,0.000712268,0.02675918,0.059498956,0.012255925,0.023541692,0.051799091,0.062519956,0.007650743,0.015682181,0.020189119,0.039567727,0.002112244,0.011629621,0.028417045,0.020889107,0.004420975,0.004912195,0.004985877,0.019820705
Mycobacteroides,1774,0.004880089,0.001533742,0.003485778,0.001673173,0.005995538,0.002928054,0.000697156,0.000697156,0,0.000976018,0.00250976,0.00376464,0.043781372,0.040295594,0.025097602,0.020496375,0.082543224,0.002370329,0.004043503,0.005158951,0.003346347,0.007668712,0.069715561,0.003206916,0.027746793,0.049358617,0.025097602,0.038064696,0.001952036,0.000418293,0.001115449,0.002788622,0.000418293,0.015058561,0.001812605,0.001673173,0.00250976,0.028025655,0.060373675,0.000418293,0.025376464,0.062465142,0.011015059,0.030953709,0.055772448,0.069994423,0.006413832,0.012269939,0.013943112,0.040016732,0.001812605,0.00989961,0.022308979,0.018126046,0.003625209,0.003485778,0.003067485,0.015755717
Mycolicibacter,1782,0.003516733,0.001474759,0.003062961,0.002155417,0.005558707,0.003857062,0.00113443,0.000453772,0,0.000340329,0.002041974,0.001928531,0.031990925,0.03788996,0.025411231,0.02007941,0.062620533,0.004878049,0.004083948,0.006239365,0.005331821,0.006466251,0.072490074,0.00567215,0.029495179,0.04015882,0.031310267,0.047759501,0.002155417,0.000907544,0.001815088,0.002722632,0.000680658,0.019171866,0.002609189,0.002949518,0.002836075,0.027339762,0.057061826,0.000680658,0.023596143,0.059557572,0.013386273,0.026205332,0.057288712,0.065002836,0.006693137,0.016222348,0.019285309,0.040612592,0.002155417,0.011003971,0.027680091,0.021440726,0.00453772,0.004424277,0.005104935,0.017470221
Mycolicibacillus,1798,0.001455075,0.002546381,0.003273918,0.003273918,0.005820298,0.005092761,0.000727537,0,0,0.002182612,0.003273918,0.001455075,0.024736268,0.028010186,0.020734813,0.018188432,0.04838123,0.005820298,0.006547836,0.00800291,0.005092761,0.00800291,0.084394325,0.010549291,0.041469625,0.02146235,0.027646417,0.056020371,0.001818843,0.001455075,0.002910149,0.003637686,0.001091306,0.013095671,0.002546381,0.002910149,0.001818843,0.039287013,0.046198618,0.000727537,0.034558021,0.056020371,0.016369589,0.011640597,0.04547108,0.061113132,0.013095671,0.014186977,0.022189887,0.052746453,0.002910149,0.012004365,0.030192797,0.021098581,0.007639142,0.006184067,0.005092761,0.025827574
Amycolatopsis,1813,0.004314995,0.001618123,0.003236246,0.002696872,0.00566343,0.004584682,0.001618123,0.000809061,0.000269687,0.001078749,0.004854369,0.001618123,0.013214671,0.016720604,0.018608414,0.02562028,0.033171521,0.006742179,0.005124056,0.007551241,0.007011866,0.011866235,0.085490831,0.01429342,0.050431499,0.017259978,0.037756203,0.057443366,0.00377562,0.001618123,0.001618123,0.004314995,0.001078749,0.020765912,0.003236246,0.004584682,0.00188781,0.037756203,0.046655879,0.001618123,0.028317152,0.046386192,0.018878101,0.009439051,0.033710895,0.055555556,0.007820928,0.022114347,0.030744337,0.045846818,0.004045307,0.015911543,0.037486516,0.030744337,0.007281553,0.007011866,0.004314995,0.024811219
Actinokineospora,1816,0.003313087,0.001104362,0.005521811,0.004417449,0.00496963,0.005521811,0.003313087,0.000552181,0,0.001656543,0.004417449,0.001104362,0.013804528,0.018774158,0.018221977,0.028161237,0.030369961,0.006626173,0.006626173,0.007730536,0.009387079,0.01490889,0.09387079,0.00993926,0.045831033,0.018774158,0.030922142,0.057979017,0.005521811,0,0.000552181,0.003313087,0.000552181,0.01490889,0.002208724,0.005521811,0.003865268,0.033683048,0.051352844,0.001104362,0.043070127,0.037548316,0.017117615,0.008834898,0.038100497,0.062948647,0.009387079,0.025400331,0.023743788,0.042517946,0.003865268,0.016013252,0.036443954,0.021535064,0.007178355,0.007730536,0.00496963,0.023191607
Nocardia,1818,0.002071037,0.00341721,0.00227814,0.003624314,0.004970488,0.006420213,0.002381692,0.000724863,0.000103552,0.000724863,0.00507404,0.001967485,0.011183597,0.022470747,0.025577301,0.024748887,0.027648338,0.007766387,0.007455732,0.009526768,0.008387698,0.014290152,0.079424252,0.012426219,0.048048048,0.016464741,0.036553795,0.061406234,0.003520762,0.00113907,0.001863933,0.003624314,0.001035518,0.017603811,0.002692348,0.004038521,0.003624314,0.033861448,0.049497774,0.00113907,0.03003003,0.046908978,0.019364192,0.009837424,0.035518277,0.046287667,0.00963032,0.022884954,0.030961996,0.037278658,0.003934969,0.016257637,0.039971005,0.031583307,0.006730869,0.00735218,0.006006006,0.028683856
Rhodococcus,1827,0.003633806,0.002813269,0.003164928,0.002930489,0.004806002,0.006564295,0.001758293,0.000937756,0,0.001875513,0.004337123,0.001641074,0.009963662,0.018051811,0.017934591,0.022975032,0.02367835,0.00785371,0.007619271,0.010315321,0.007033173,0.014066346,0.090376275,0.014652444,0.054272653,0.013363029,0.033876451,0.061891924,0.004923221,0.001289415,0.001641074,0.004688782,0.001172196,0.018637909,0.001875513,0.003868245,0.003516587,0.036338061,0.046887821,0.001289415,0.032118157,0.047825577,0.021451178,0.007033173,0.029539327,0.045715625,0.009729223,0.024030008,0.038330794,0.038682452,0.003868245,0.01582464,0.038916891,0.029304888,0.007267612,0.007150393,0.005978197,0.02871879
Saccharopolyspora,1836,0.002380008,0.00396668,0.004760016,0.002776676,0.00495835,0.007735026,0.001785006,0.000595002,0,0.002776676,0.004363348,0.001785006,0.008726696,0.020626735,0.018841729,0.024593415,0.019238397,0.006346688,0.009321698,0.010115034,0.009123364,0.01685839,0.085481952,0.012495042,0.061483538,0.01586672,0.035898453,0.055335184,0.004760016,0.001388338,0.00297501,0.003371678,0.000595002,0.015073384,0.003768346,0.00396668,0.002380008,0.037088457,0.039666799,0.000595002,0.037485125,0.044823483,0.021816739,0.005156684,0.027965093,0.047600159,0.009718366,0.027568425,0.032526775,0.038278461,0.003768346,0.019833399,0.041253471,0.028758429,0.005751686,0.00793336,0.005751686,0.030146767
