Genus,OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Erythrobacter,1044,0.029787234,0.008510638,0.014893617,0.004255319,0.021276596,0.012765957,0.014893617,0.025531915,0.008510638,0.021276596,0.031914894,0.036170213,0.044680851,0.046808511,0.038297872,0.019148936,0.029787234,0.006382979,0,0.00212766,0.00212766,0.00212766,0.025531915,0.00212766,0.019148936,0.040425532,0.023404255,0.034042553,0,0,0.004255319,0.006382979,0,0.021276596,0.00212766,0,0.006382979,0.012765957,0.036170213,0,0.014893617,0.110638298,0.00212766,0.025531915,0.042553191,0.046808511,0.006382979,0.004255319,0.004255319,0.025531915,0,0.012765957,0.010638298,0.008510638,0.004255319,0.004255319,0.004255319,0.017021277
Marichromatium,1048,0.02962963,0.007407407,0.022222222,0.022222222,0.014814815,0.022222222,0.014814815,0.022222222,0.014814815,0,0.022222222,0.014814815,0.02962963,0.059259259,0.044444444,0.02962963,0.066666667,0,0.007407407,0.014814815,0,0.007407407,0.037037037,0,0.051851852,0.037037037,0.014814815,0.022222222,0,0,0,0,0,0.051851852,0,0,0,0.022222222,0.014814815,0,0.022222222,0.066666667,0.007407407,0.037037037,0.022222222,0.022222222,0,0,0.014814815,0.02962963,0.007407407,0,0.007407407,0.007407407,0.007407407,0,0.007407407,0.022222222
Allochromatium,1049,0.019354839,0,0.019354839,0.019354839,0.019354839,0.019354839,0.019354839,0.012903226,0.006451613,0.019354839,0.038709677,0.019354839,0.032258065,0,0.019354839,0.025806452,0.058064516,0.006451613,0.019354839,0,0,0.006451613,0.04516129,0,0.012903226,0.058064516,0.012903226,0.04516129,0,0,0,0.006451613,0,0.032258065,0,0,0.012903226,0.012903226,0.04516129,0,0.012903226,0.090322581,0,0.025806452,0.070967742,0.038709677,0.019354839,0,0,0.032258065,0,0.006451613,0.019354839,0.006451613,0.012903226,0,0,0
Thermochromatium,1050,0.014285714,0.007142857,0.007142857,0.007142857,0.014285714,0.014285714,0.014285714,0.014285714,0,0,0.028571429,0.064285714,0.035714286,0.05,0.042857143,0.007142857,0.05,0,0.007142857,0,0.007142857,0,0.028571429,0.007142857,0.021428571,0.057142857,0.021428571,0.064285714,0,0,0,0,0,0.007142857,0,0,0,0.007142857,0.057142857,0,0.007142857,0.085714286,0.007142857,0.021428571,0.042857143,0.071428571,0,0.021428571,0,0.021428571,0,0.007142857,0.007142857,0.014285714,0,0,0.014285714,0.021428571
Halorhodospira,1053,0.024242424,0.009090909,0.018181818,0.012121212,0.018181818,0.012121212,0.015151515,0.018181818,0.006060606,0.015151515,0.006060606,0.009090909,0.051515152,0.063636364,0.048484848,0.021212121,0.033333333,0.006060606,0.009090909,0.006060606,0.003030303,0,0.03030303,0.006060606,0.015151515,0.048484848,0.012121212,0.024242424,0,0,0.003030303,0.006060606,0,0.024242424,0,0.006060606,0,0.018181818,0.024242424,0,0.015151515,0.112121212,0.012121212,0.042424242,0.036363636,0.054545455,0.006060606,0.012121212,0.009090909,0.027272727,0.003030303,0.003030303,0.009090909,0.018181818,0,0,0.009090909,0.006060606
Ectothiorhodospira,1054,0.003597122,0.007194245,0.025179856,0.003597122,0.017985612,0.017985612,0.007194245,0.028776978,0.010791367,0.028776978,0.025179856,0.021582734,0.04676259,0.04676259,0.035971223,0.021582734,0.025179856,0,0.003597122,0.003597122,0.010791367,0.007194245,0.017985612,0,0.032374101,0.035971223,0.021582734,0.017985612,0,0,0,0.007194245,0,0.053956835,0.003597122,0,0.003597122,0.021582734,0.021582734,0,0.014388489,0.079136691,0.003597122,0.035971223,0.028776978,0.075539568,0.007194245,0,0.014388489,0.04676259,0,0.007194245,0.025179856,0.003597122,0,0,0.003597122,0.017985612
Thiocapsa,1056,0.016891892,0.006756757,0.02027027,0.006756757,0.030405405,0.006756757,0.016891892,0.027027027,0.010135135,0.006756757,0.030405405,0.02027027,0.054054054,0.033783784,0.043918919,0.02027027,0.054054054,0,0.003378378,0.003378378,0.003378378,0.006756757,0.030405405,0.003378378,0.013513514,0.060810811,0.016891892,0.023648649,0,0,0,0.003378378,0,0.030405405,0.003378378,0.003378378,0,0.016891892,0.050675676,0,0.010135135,0.087837838,0.003378378,0.050675676,0.016891892,0.030405405,0.006756757,0.02027027,0.006756757,0.027027027,0.003378378,0,0.003378378,0.016891892,0.003378378,0.003378378,0.013513514,0.016891892
Rhodobacter,1062,0.011494253,0.009852217,0.019704433,0.011494253,0.034482759,0.011494253,0.013136289,0.019704433,0.013136289,0.014778325,0.034482759,0.02955665,0.047619048,0.037766831,0.034482759,0.011494253,0.022988506,0,0.003284072,0.006568144,0.003284072,0.001642036,0.034482759,0.001642036,0.02134647,0.044334975,0.011494253,0.039408867,0,0,0.003284072,0.003284072,0.001642036,0.024630542,0.001642036,0.001642036,0.003284072,0.013136289,0.037766831,0.001642036,0.009852217,0.10180624,0.004926108,0.042692939,0.034482759,0.037766831,0.019704433,0,0.008210181,0.031198686,0.003284072,0.008210181,0.018062397,0.019704433,0.004926108,0.001642036,0.003284072,0.013136289
Rhodocyclus,1067,0.021321962,0.006396588,0.019189765,0.002132196,0.012793177,0.019189765,0.012793177,0.02771855,0.008528785,0.021321962,0.014925373,0.029850746,0.053304904,0.057569296,0.031982942,0.019189765,0.044776119,0.002132196,0,0.006396588,0,0.006396588,0.034115139,0.002132196,0.012793177,0.053304904,0.019189765,0.034115139,0,0,0,0.004264392,0,0.023454158,0,0.002132196,0,0.010660981,0.046908316,0.002132196,0.006396588,0.1108742,0.004264392,0.023454158,0.029850746,0.046908316,0.012793177,0.004264392,0.002132196,0.038379531,0.004264392,0.004264392,0.010660981,0.010660981,0.004264392,0.002132196,0.004264392,0.017057569
Rhodomicrobium,1069,0.022435897,0,0.019230769,0.016025641,0.022435897,0.016025641,0.009615385,0.022435897,0,0.016025641,0.038461538,0.022435897,0.038461538,0.022435897,0.051282051,0.03525641,0.03525641,0,0.003205128,0.009615385,0.003205128,0.006410256,0.041666667,0.003205128,0.022435897,0.051282051,0.016025641,0.022435897,0.003205128,0,0,0,0.003205128,0.022435897,0.003205128,0,0.006410256,0.009615385,0.025641026,0,0.016025641,0.105769231,0,0.044871795,0.044871795,0.03525641,0.016025641,0.016025641,0.006410256,0.028846154,0,0.012820513,0.012820513,0.006410256,0.006410256,0,0,0.006410256
